weather_id,collision_rate,out_of_road_length,distance_to_route,incomplete_route,running_time,final_score
21,0.72,0.05,0.09,0.31,0.83,0.47800000000000004
21,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
21,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
21,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
21,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
21,0.75,0.05,0.09,0.3,0.82,0.48600000000000004
21,0.72,0.06,0.09,0.31,0.83,0.47900000000000004
22,0.75,0.05,0.09,0.3,0.78,0.48200000000000004
22,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
22,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
22,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
22,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
22,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
22,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
22,0.75,0.02,0.09,0.31,0.83,0.48700000000000004
22,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
22,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
23,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
23,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
23,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
23,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
23,0.75,0.04,0.09,0.3,0.82,0.48500000000000004
23,0.75,0.06,0.09,0.3,0.84,0.48900000000000005
23,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
23,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
23,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
23,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
24,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
24,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
24,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
24,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
24,0.78,0.03,0.09,0.3,0.79,0.49300000000000005
24,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
24,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
24,0.78,0.03,0.09,0.3,0.79,0.49300000000000005
24,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
24,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
25,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
25,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
25,0.75,0.04,0.09,0.3,0.82,0.48500000000000004
25,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
25,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
25,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
25,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
25,0.75,0.06,0.09,0.3,0.82,0.48700000000000004
25,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
25,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
26,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
26,0.78,0.03,0.09,0.3,0.82,0.49600000000000005
26,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
26,0.75,0.02,0.09,0.3,0.82,0.48300000000000004
26,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
26,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
26,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
26,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
26,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
26,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
27,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
27,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
27,0.78,0.03,0.09,0.31,0.82,0.49900000000000005
27,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
27,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
27,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
27,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
27,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
27,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
27,0.78,0.05,0.09,0.3,0.82,0.49800000000000005
28,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
28,0.75,0.05,0.09,0.3,0.82,0.48600000000000004
28,0.75,0.03,0.09,0.3,0.84,0.48600000000000004
28,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
28,0.78,0.04,0.09,0.3,0.78,0.49300000000000005
28,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
28,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
28,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
28,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
28,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
29,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
29,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
29,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
29,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
29,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
29,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
29,0.75,0.06,0.09,0.3,0.84,0.48900000000000005
29,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
29,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
29,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
